file,radius,total error,total edge,total distance,error / edge,error / distance,time_span
P61-1000.txt,15,121059.117188,25864.000000,1690231.125000,4.680603,0.071623,11562
P62-1000.txt,15,125245.968750,26532.000000,1733745.000000,4.720562,0.072240,11703
P63-1000.txt,15,115780.234375,24797.000000,1639576.000000,4.669123,0.070616,11125
P64-1000.txt,15,121186.687500,25969.000000,1723157.875000,4.666591,0.070328,20671
P65-1000.txt,15,120370.617188,25562.000000,1690314.000000,4.708967,0.071212,11453
P66-1000.txt,15,119876.765625,25515.000000,1697039.625000,4.698286,0.070639,12750
P67-1000.txt,15,124468.585938,26571.000000,1775557.500000,4.684377,0.070101,13703
P68-1000.txt,15,119568.890625,25431.000000,1663530.375000,4.701698,0.071877,11953
P69-1000.txt,15,124025.695312,26359.000000,1750015.875000,4.705250,0.070871,13796
P70-1000.txt,15,123487.023438,26277.000000,1759901.500000,4.699434,0.070167,11578
